,desc,plus_rev,minus_rev,comment_rev
795," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",НЕТ,НИЗКИЙ КЛИНЕРС,СТОЙКИ НАШИХ ДОРОГ НЕ ВЫДЕРЖАЛИ. ЧЕРЕЗ 2 ГОДА МЕНЯЛА.
796," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",я всем была 4 года довольна..,не обнаружила,не обнаружила 
797," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Удобный,экономичный,динамичный,классный",Нет,Нет
798," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",экономит,шумка и скрип пластика,не было
799," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Двигатель работает беззвучно, экономично. Скорость набирает быстро.",Нет.,Нет.
800," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Низки расход бензина,Жутка калатушка. Как девятка с высокой панелью. После мазды 3 ощущения отвратительные. Ездить  не смог.,Надежен как Т34
801," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Отличный, удобный и надежный автомобиль.",Низковат,
802," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Низкий расход топлива максимум 9 литров на PWR и педаль в пол. На 215×55×17 колесах.,Авто для езды по асфальту!!!!,Чистка контактов батареи
803," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный расход,Недостаточная шумоизоляция,
804," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ",,сильно пластиковый ,использую уже второго присуща в 30 кузове первого купил с аукциона битого делал было пробега 4000 проездил 160000 менял только масла раз в 40000 продал парень ездит поменял только свечи и все   
805," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","- Экономичность! Кто бы что не говорил, но Приус реально экономичнее того же Аллиона или Премио, причем почти в два раза.
- Головной свет
- Багажник. Намного больше чем у седанов, есть также просторный подпол. Также, удобно складываются задние сидения, можно без проблем переночевать вдвоем или перевести какие либо крупногабаритные вещи.
- Доступность и цена на запчасти и аксессуары","- Скрипы салона
- Клиренс
- Лкп","Ничего критичного за 2 годов использования не произошло.  Менял рейку сразу с Японии (болезнь),  нижние шарики, передние стойки (по своей инициативе). Датчик АБС (сдох зимой при буксе на снегу)."
806," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень хороший автомобиль, владели таким авто 6 лет, за время эксплуатации ни разу не подвела. ",,
807," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход топлива ,Как консервная банка .,
808," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",отличный авто ,Плохая обзорность,Заменил секции ВВБ.
809," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надёжный, недорогой в обслуживании, приятный в управлении, маленький расход, мизерный налог",Нет,
810," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень надежный автомобиль! Экономичный!,,
811," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия резвость надёжность ,Шумка ,Никогда
812," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Бесшумная работа
Быстрый старт
Хорошая управляемость
Низкий расход топлива",Низкий клиренс,Технических помолом за  4 года не было
813," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичен,вместимость, долговечность!",Низковат,
814," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Надежность,Шумная в салоне,"на пробеге ~110 тысяч км ступица.
Линки же подошли к 90 тысячам км. Установка Masuma за 700 рублей решили проблему на два года :)
Отличная машина! Обязательно еще раз вернусь к приусам!"
815," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","классный авто, советую!",,не было.
816," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Надежность как у автомата Калашникова,Очень скучный авто,"Если не ушатанный, то не доставляет проблем. Только плановое обслуживание."
817," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Расжод топлива.
Надёжная ходовка.
Управляемость.
Низкие эксплуатвционные расходы.
Надёжность в целом.",Двигатель начинает кушать масло ближе 200000км.,Помпа охлаждения инвертора. Переднии линьки. И всё. Пробег по РФ 103000км. Отличный и надёжный автомобиль. Советую.
818," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надежный автомобиль, низкий расход топлива, элластичный двигатель, заводится в любом состоянии. ","неудобные сиденья, слабый головной цвет.",раз в 120 т.км. менять передние ступичные подшипники.
819," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Отличный автомобиль,если бы не обстоятельства не продал бы точно.",нет,
820," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Машина огонь за 150т пробег и общего пробега в 300т ничего не ломалось ) расход 5-6 литров на трассе идёт как утюг. Лучшее предложение в своём ценовом сегменте ,"Плохой салон, музыкальный и не много не хватает комфорта повески в моем частном случае. Причина всему 18 колеса. Но на них она смотрится огонь )",
821," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Динамика, расход топлива, современный дизайн, просторный салон.","Тонкий металл, при легком воздействии на элементы кузова, легко повредить.",Отсутствуют.
822," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маленький расход.,Проходимость.,
823," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","-экономичность, 
-неприхотливость, 
-надёжность, 
-манёвринность, 
-резвость(относительно других полтарашек)","-внешний вид на любителя
-очень плохая шумоизоляция(у G комплектаций шумоизоляция нормальная) 
-дорогие лампочки в ксенон, и очень неудобно их менять
-зимой быстро выстуживает салон
-после 200 пробега начинает звенеть цепь
-подъедает масло",ничего серьёзного не было
824," Prius, 1998 год, Бензин, Автомат, Передний привод ",Маленький расход,,
825," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","расход, надёжность при правильной эксплуатации ","проверка автомобиля перед покупкой в проверенном ГИБРИД сервисе .
у дорестайла болеет рулевой карданчик, на рестайле исправлено япами.
не понравился пластик , но с этим можно смирится..","у дорестайла япы делали отзыв и меняли топливный фильтр из за какой то трубки и устанавливали дополнительные кронштейны на шторки боковые(подушки безопасности)  делали бесплатно у официалов всем, даже тем кто брал безпробежки по России.  кто не делал знайте."
826," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичен в городском режиме, хорошо ведет себя на трассе, уверенно проходит повороты на больших скоростях.","Плохая обзорность ( много мертвых зон), расход  топлива на дальние расстояния как у обычного автомобиля с мотором 1500-1800 сс , скрипучий пластик салона в морозы, качество отделки салона желает быть лучше за такие деньги. ",
827," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, багажник.","Экономии с учетом ремонта абсолютно никакой (замена инвертора, ремонт ВВБ). Машина после 120 тыс. пробега ненадежная. Ушел в большой минус. Салон дешевый, ходовка простая жестковатая.","Сгорел инвертор, просела емкость по кассетам в ВВБ, замена датчика давления масла, чистка форсунок и клапана ЕГР."
828," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Динамика хоть и 76 л.с. но все же.
Ходовая почти не убиваемая.
Расход топлива. В моем случаи лил только АИ-98","При старте двигателя  вернее когда он заводится ""легкое  толчок"". Ощутимо, некоторые кто в 1-е ездил в 20-ке пугаются.
После 170 т. км. пробега ""Жер"" масла.  В моем опыте 3-ри 20-ки было, первые две Кушали так как пробег был около 180 т. км. последняя купил с Аукциона 113 т. км. пробега в ней уровень держался.","Если купили нормальный авто с пробегом до 150 т. км.  с Живой батареей, рулевой рейкой и Т.Д. Ломаться не будет это же TOYOTA!!!"
829," Prius, 2001 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный автомобиль, надежный и неубиваемый",Батарейка может выйти из строя так как машина уже не новая,Батарейка сломалось пришлось менят но я не меняя продал
830," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Быстрый, экономичный, за три года не разу не подвел. Комфортный.",Я их не нашел.,За три года менял только масла фильтра и свечи с резиной. Все
831," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ","-небольшой расход
-непрехотливый в обсживании","-пластик салона
-низкий клиренс
-маркая отделка салона",не выявленно
832," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Неприхотливый, экономичный, очень вместительный, хорошо держит дорогу.","Жестковат. Дешёвый пластик, который скрипит. Отсутствие шумоизоляции. Несовершенство гибридной системы.","2,5 года без поломок. "
833," Prius, 2000 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень экономичный и резвый автомобиль. Поначалу смотришь, какой то, так себе на вид. Но как покататься, а ещё и расход посмотришь и влюбляешься навсегда. Думаешь, если менять то только на более новый Приус. Да не грозный вид у автомобиля, не супер спортивный, но как он едет, электротяге + расход. На 300р проезжаешь 100км с копейками, а дальние путешествия вообще сказка становятся и все это при комфорте Тойоты. Правильно говорят, Приус для Тойоты, знаковый автомобиль. И я соглашусь с этим )","Недостатки, я бы не назвал это недостатками, может при высокой посадке(регулировка сиденья по высоте) стойка может немного обзор перекрывать(немного!). Клиренс не самый высокий, но хватает, хотя при сильной загруженности задней части может цеплять лежачих полицейский.","За полтора года одна поломка(одна!), Вышел из строя кислородный датчик, заменил и все супер) Остальные замены только расходники!) "
834," Prius, 2000 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надежность электроники, устойчивость на дороге, экономия топлива, хорошая комплектация в базе.",Дорогая ВВБ.,Поломок в дороге не было.
835," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Не большой расход, удобный в использовании, надежный поломки крайне редки. Красивый внешне (личное мнение)","Салон пластиковый, за такие деньги могли сделать хотя бя как у алиона или премео.
Маленький клиренс, нужно ставить проставки и желательно штатные диски на 17 с резиной 215/55/17 будет вообще супер!!
Датчик EGR нужно чистить хотя бы раз в год, с нашим топливом то.
Плохая шумоизоляция, немного лучше автобуса.
Подвеска больше жесткая чем комфортная.","Иногда в при заводе на холодную, в районе ДВС бывают страшные стуки, но потом немного поработав они проходят, ошибок ни каких не показывает.
Поменял свечи не помогло, грешу на катушку, скорее всего проблема в ней.
Решение: либо меня все по очереди, либо дождаться пока умрет та которая иногда подтраивает."
836," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный и надежный.,Низкий и безшумки,Бампера
837," Prius, 2003 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Шустрый, не дорог в обслуживании, надёжный",Иногда запчасти надо заказывать. Не охотно продается.,
838," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Пять лет эксплуатации; динамика, проходимость, умная,  только плюсы!",Недостаточная обзорность сзади; исправляется панорамным зеркалом.,Не  было неисправностей (замена помпы на 150 тыс. около 8т.р.)
839," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Динамичный и резвый авто с маленьким расходом топлива!!! Очень уверенно ведет себя в поворотах на скоростях ( стояли хорошие Японские колеса R-17 ) Система кондиционера ни как не зависит от двигателя, мощность авто не теряется и расход топлива не увеличивается!!! Вообще покупал данное авто посмотреть, что такое ГИБРИД, как ведет себя зимой и летом. Проездил 8 месяцев и остался только в положительных эмоциях!!! Брал авто без пробега по РФ, ( чего желаю каждому ), главное смотрите и не жалейте 1000 рублей на диагностику батареи!!! и машина будет служить верой и правдой! ",Минус один! У авто плохая ШУМОИЗОЛЯЦИЯ!!! ,"После Японии сменил все жидкости, так как не подходили по температурному режиму к нашим Дальневосточным зимам! Втулки стабилизатора перед, льньки перед, и пыльники передних стоек. "
840," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, отличная тяга даже на трассе, прекрасная система стабилизации. В максималтной комплектации с эттм авто сложро поспорить одноклассникам в этой ценовой категории. ",Минусов почти нет. Разве что слабая шумоизоляция и жестковатая подвеска. ,"Замена датчика давления масла, замена передних стоек, замена передних ступиц. Все. "
841," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный,крепкая ходовка",Левая передняя ступица-слабое место авто,
842," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Заводится в любой мороз, теплая зимой ,ремонто пригодная ,запчасти стоят не дорого ","Маленький багажник, ",
843," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежность, экономичность, комфортабельность, неприхотливость, запуск двигателя в любой мороз.",,Не было.
844," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Гадежный экономтчный и неприхотливый автомобиль. 9 баллов.,Нет,Не было
845," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичен неприхотлив ни разу неподводил,Низковат много электроники,
846," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Отличный автомобиль.,Малая мощность.,Нет.
847," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Эконом,Долго греется салон,Нет!
848," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",электрическая часть автомобиляю,ДВС...,"за три года , серьезных поломок не было."
849," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Хороший, надежный, экономичный, зимой не подводил даже в экстремальных случаях.  В дальние  поездки  самый лучший  вариант. ",,
850," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Само собой расход! Низкий налог. Приемистость в городе, ускорение без проблем в потоке или с места, электротяга с низов помогает. Хорошо держит дорогу, даже на высокой скорости причем даже с проставками. Система стабилизации не раз выручала. С проставками хороший клиренс.","Консервная банка. Впрочем как и большинство современных авто. Дорогая кузовщина. По трассе машину приходится ловить из-за электроусилителя. То хорошо едет, то не едет, почему не понятно при чем температура ВВБ, бензин и т.п. одинаковые. Без проставок низкий.
По трассе на высокой скорости растет и расход, но выше 8 не получалось. После череды ускорений батарея проседает и шустрый разгон ""пропадает"".",До меня уже меняли двигатель. Передние ступичные подшипники. Остальное только расходники. 
851," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","налог, страховка, расход бензина, тех же колодок, заводиться в ЛЮБОЙ мороз жару, функции помощи вспомогательные, едет очень отзывчиво остро, разгон радует все это и не только большие- огромные плюсы","для меня минусы не раскрылись, кроме того что хочется все новее и новее , либо по комплектации улучшать... ","лобовое - от камаза камни полетели разбилось, и от наших дорог, да и сам виноват как то привык к тому что больше скорость, меньше ям, линька забрякала,... "
852," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Быстрый, маневренный, экономичный ","Передний привод, малопроходим ",
853," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Все отлично. Расход, комфорт. Цена-качество",Шумоизоляция ,За 12 месяцев владения менял только масла- фильтра 
854," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Машина для повседневной жизни. Неприхотливый, экономичный, надежный и комфортный. ",Их практически нет. ,"При покупке гремела рулевая рейка.  Заказал и поставил контрактную все нормально стало. 
После зимы пробили задний амортизатор. Вот и всё.  А так машина надежная как АК-47. "
855," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Бережная эксплуатация, ТО по регламенту.  Прозрачная история автомобиля. ","Было небольшое ДТП в заднюю часть, красили бампер и крыло. Страховая хорошо выплатила.  Сделали  ремонт ""по  люксу"".",Неисправностей нет
856," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Динамичный, экономичный и экологичный.",Пугает пешеходов)),Помпа инвертора заменена (отзывная кампания). 
857," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень надёжный автомобиль! ,За время эксплуатации не выявлено!,Не подвёл ни разу за 1.5 года
858," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","- низкий расход
- надежность
- мягкая подвеска",- клиренс,расходы были только на ходовку
859," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Беспроблемная машина,"Салон неудобный,шумка",На 150000 тысяч подшипники ступицы
860," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень хороший,надёжный,быстрый,экономичный и т.д!","Трудно подобраться к фарам при замене ламп,и трудно добраться к заднем стойками при замене!",При пробеге 200км есть небольшой расход масла!
861," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Компьютерная диагностика показала, что батарейка отличная)) ","Слабовата печка, хотя при гаражном хранении не волнует. Клиренс маловат, но лечится прокачкой пружин и втулок. ",Задние стойки менялись на пробеге 120 000. 
862," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность и комфорт,Их нет,
863," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Плюсов много,Слабая шумоизоляция,Нет
864," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",экономичный ,шумноват,до 117 000 не единой поломки
865," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия топлива,Есть масло,
866," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Плюсы:
Двигатель
Просторный салон
Отличная динамика 
Низкий расход топлива.
Динамичный внешний вид
Достаточно надёжная хоть и жёсткая подвеска ","Минусы:
Длинный передний свес
Плохой обзор из за широких передних стоек
Отсутствие шумоизоляции
Дешёвые материалы салона",
867," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Супер надежность, экономичность, низкая цена на запчасти.",Низкий клиренс.,"После 150тысяч пробега ремонт по мелочи на 20тысяч рублей, с запчастями! Халява!"
868," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень, комфортный в управлении, надёжный и верный друг, надеюсь следующий владелец, получит даже больше удовольствия от управления данным автомобилем!","Даже не знаю, потому что их нет!",190000 поменял левую ступицу!
869," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",низкий расход топлива..заводиться в любой мороз.. сравнительно не дорогие запчасти..хорошо держит дорогу.. редко ломается,рев мотора при разгоне.. расход масла после 150000 пробега..,
870," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономная, радиус разворота маленький, удобно в городе, в пробках бензин совсем не сжигает)))","низкий клиренс , багажник маловат",
871," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Шустрый, маневренный, экономичный",Нет,Косметика-бампера
872," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичная ,"Салон пластик, батарея слабая",Батарея 
873," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Отличный автомобиль в этой ценовой категории. ,"Расход масла, антипробуксовочная система. ","За год эксплуатации вылезла ошибка катализатора, проблема была решена удалением катализатора и перепрошивкой системы. "
874," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",экономия,шумоизоляция,нету
875," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",экономия бензина,зимой не совсем теплая,замена аккумулятора
876," Prius, 2007 год, 150 куб. см., Бедная ",Экономичен.,Масло жор,Нет.
877," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономный с отличной динамикой,Минусы отсутсвуют,
878," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, симпатичный, резвый, комфортный, вместительный, современный.","Низкий, пластиковая панель гремит, дорогой ремонт батареи и электродвигателя. ","Электродвигатель после покупки, барея через 1.5 года"
879," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежность, экономичность","Шум в салоне, печка плохая","Рулевая рейка, пыльники, линьки, стойки"
880," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ",расход,не обнаружены,
881," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Ходовка не убиваемая, колодки не стёрлись за 7 лет ни сколько. Во время наводнения в Уссурийске 2017 года топляков было много, а Приусу ходьбы что. Не захлебнулся и даже через мятую дверь ни чего не затекло.",Салон зимой очень долго прогревается,"В правую часть Авто въехал Прадо, после чего он ехать не смог, а я уже езжу 3 года."
882," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень экономичный!,Минусов не нашел.,"Менялись только расходники, резинки."
883," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",,шумоизоляция,
884," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","большой салон, багажник. экономичная, высокий потолок, резвая","шумоизоляция, отделка дешевый пластик",
885," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Хороший, экономичный, то что надо для работы.",Для меня недостатков нет.,Нет.
886," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экокономичность,Низкий,Не замечал
887," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежность, расход топлива ","Деревянный, скрипучий салон, шумоизоляция, жесткая подвеска",Забрякала рулевая рейка на 130 тыс. км
888," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный надежный. Для города но не более.,клиренс слабая поршневая,за весь период не было ни одной.
889," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, достаточно мощный и быстрый",Дешевые материалы салона,
890," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Смотрится действительно отлично!современно.салон удобный.мотор надежный-масло не жрал вообще,в отличии от 20го кузова.проьега 140 тыщ в машине никаких проблем-все работало исправно.батарея в порядке-нареканий не было.зимой едет хорошо,проблем со снегом не было.","Едет как 20 кузов,ну чуть резвее.ходовая часть слабовата,на 17’ литье жестковат.",Не было.
891," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Практичность, надёжность, комфорт.",По гололёду не едет.,Двигатель из-за алюминиевого блока больше 250 000 км не ходит!
892," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надёжность, экономичность",Нет,
893," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надежность, экономичность, универсальность.",Не заиетил.,Не было.
894," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичен, бесшумная работа, бысто набирает обороты",Низкий клиренс,
895," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Практичный, надежный, простой в обслуживании. За три года эксплуатации ни разу не подвел и не требовал к себе повышенного внимания, только стандартное ТО.","Серьезных минусов нет, субъективный: тесно в салоне, ребенка в детское кресло не удобно садить, низкий дверной проем.",Пробег 190 т.к. замена рейки и ступичных подшипников.
896," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Крепкая ходовка, низкий расход, быстрый разгон, достаточно мягкая, маленький налог и страховка.",Двигатель прихотливый масложор ,"100000 км упала компрессия в цилиндрах, часто загорался чек о пропуске в зажигании."
897," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",маленький расход,весь дребезжит шумка никакая,не было
898," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Очень надежный, экономичный, вместительный",Шумоизоляция,За 4 года ни одной неисправности
899," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","экономичный, надежный, беспроблемный. ","шумоизоляция, клиренс",поломок не было
900," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность машина чисто для города и дөя тех кто много ездить плюсов много чем минусов,Шумка клиренс,При неправильной эксплуатации батареи выходят из строя Ну можно менять его по элементам
901," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Я его приподнял на 2,5, всю зиму отъездил проблем нет. Оч хорош автомобиль а особенно:- его годовой налог 1 тр и расход 4-6 л :-).",Не заметил. Черный салон самый лучший!,Линьки поменял
902," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Отличный городской автомобиль ,"Недостаточная шумоизоляция, дешевый пластик в салоне ",
903," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, красивый внешний вид, большой багажник. ",Низкая,
904," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",расход топлива,нет,"Ступичный узел сломался на 120000 км., система EGR вышла из строя на 150000 км."
905," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Хорошая машина,,Не было
906," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","одни плюсы. салон большой, экономичен, теплый, удобный, салон разлаживается. ",их нет за два года не нашел,300 тыщ. полет нормальный
907," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Маленький расход топлива, комфортный, много преимуществ перед одноклассниками. Отличные тормоза",не нашел,"поменял передние ступичные подшипники, гранату. Стоило копейки."
908," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный динамичный вместительный ,,
909," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надёжный, экономичный.",Нет 4 вд.,Жерет масло.
